prod_id,addOnId,data_limit,simMode,fupLimit,operatorId,additional_note,amount,productName,postFupSpeed,validity,coverageDestinations,allocatedDestinations
1014,eSim-PB-SG-VA-1-7-15,0,2,1.0,105,,677.12,"eSIM - Singapore, Malaysia, Indonesia, Thailand - 1 GB/Day For 7 Days",128.0,7,"SGP,IDN,MYS,THA","THA,IDN,SMIT"
1015,eSim-PB-SG-VA-2-5-5,0,2,2.0,105,,761.86,SMIT 2GB/Day -5 Days,128.0,5,"SGP, MYS, IDN, THA",IDN
1016,#pS-PB-HK-VA-2-1-1_,0,1,2.0,105,,761.86,"Plastic SIM - HongKong, Macau - 2 GB/Day For 7 Days",128.0,7,"HKG,MAC","HKMC,HKG,MAC"
1017,eSim-PB-HK-VA-2-7-2,0,2,2.0,105,,761.86,"eSIM - HongKong, Macau - 2 GB/Day For 7 Days",128.0,7,"HKG,MAC","HKMC,HKG,MAC"
1018,eSim-PB-GB-VA-1-10,0,2,1.0,105,,761.86,eSIM - Europe (8) - 1 GB/Day For 10 Days,128.0,10,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1019,eSim-PB-JP-VA-1-10-3,0,2,1.0,105,,761.86,eSIM - Japan - 1 GB/Day For 10 Days,128.0,10,JPN,JPN
1020,eSim-PB-SG-VA-1-10-16,0,2,1.0,105,,761.86,"eSIM - Singapore, Malaysia - 1 GB/Day For 10 Days",128.0,10,"SGP,MYS","SGP,MYS,SGMY"
1021,#pS-PB-SG-VA-1-1-4_,0,1,1.0,105,,761.86,"Plastic SIM - Singapore, Malaysia, Thailand, Indonesia - 1 GB/Day For 1 Days",128.0,10,"IDN,MYS,SGP,THA","SMIT,IDN,THA"
1022,eSim-PB-KRW-VA-1-15-1,0,2,1.0,105,,761.86,eSIM - South Korea - 1 GB/Day For 15 Days,128.0,15,KOR,KOR
1023,pS-VNM-VM-100-20,0,1,5.0,105,SIM: Vietnam Local,761.86,Plastic SIM - Vietnamobile - 5 GB/Day For 20 Days,,20,VNM,VNM
1024,AUS_1002202510013065,0,2,2.0,105,,931.36,Australia - Unlimited Data for 5 Days,512.0,5,AUS,AUS
1025,eSim-PB-BD-VA-2-5,0,2,2.0,105,,931.36,eSIM - Bangladesh - 2 GB/Day For 5 Days,128.0,5,BGD,BGD
1026,CHE_1002202510014686,0,2,2.0,105,,931.36,Switzerland - Unlimited Data for 5 Days,512.0,5,CHE,CHE
1027,eSim-PB-JP-VA-2-7-2,0,2,2.0,105,,931.36,eSIM - Japan - 2 GB/Day For 7 Days,128.0,7,JPN,JPN
1028,eSim-PB-SG-VA-2-7-6,0,2,2.0,105,,931.36,"eSIM - Singapore, Malaysia - 2 GB/Day For 7 Days",128.0,7,"SGP,MYS","SGP,MYS,SGMY"
1029,eSim-PB-HK-VA-2-10-2,0,2,2.0,105,,931.36,"HongKong, Macau 2GB/Day -10 Days",128.0,10,"HKG, MAC",HKG
1030,eSim-PB-SG-VA-1-10-15,0,2,1.0,105,,931.36,"eSIM - Singapore, Malaysia, Indonesia, Thailand - 1 GB/Day For 10 Days",128.0,10,"SGP,IDN,MYS,THA","THA,IDN,SMIT"
1031,eSim-PB-US-VA-1-10-5,0,2,1.0,105,,931.36,eSIM - United States of America - 1 GB/Day For 10 Days,128.0,10,USA,USA
1032,#pS-PB-VN-VA-5-1_,0,1,5.0,105,,931.36,Plastic SIM - Vietnam - 5 GB/Day For 1 Days,,10,VNM,VNM
1033,#pS-PB-AE-VA-1-1-1_,0,1,1.0,105,,1016.1,Plastic SIM - UAE - 1 GB/Day For 7 Days,128.0,7,ARE,ARE
1034,eSim-PB-AE-VA-1-7-1,0,2,1.0,105,,1016.1,eSIM - United Arab Emirates - 1 GB/Day For 7 Days,128.0,7,ARE,ARE
1035,eSim-PB-GB-VA-2-7,0,2,2.0,105,,1016.1,eSIM - Europe (8) - 2 GB/Day For 7 Days,128.0,7,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","EUR,AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1036,#pS-PB-HK-VA-3-1-1_,0,1,3.0,105,,1016.1,"Plastic SIM - HongKong, Macau - 3 GB/Day For 7 Days",128.0,7,"HKG,MAC","HKMC,HKG,MAC"
1037,eSim-PB-LK-VA-1-7-1,0,2,1.0,105,,1016.1,eSIM - Sri Lanka - 1 GB/Day For 7 Days,128.0,7,LKA,LKA
1038,eSim-PB-SG-VA-2-7-5,0,2,2.0,105,,1016.1,"eSIM - Singapore, Malaysia, Indonesia, Thailand - 2 GB/Day For 7 Days",128.0,7,"SGP,IDN,MYS,THA","THA,IDN,SMIT"
1039,eSim-PB-CN-VA-2-10-2,0,2,2.0,105,,1016.1,"eSIM - China, HongKong, Macau - 2 GB/Day For 10 Days",128.0,10,"CHN,HKG,MAC","GCHN,CHN"
1040,#pS-PB-AU-VA-1-1-3_,0,1,1.0,105,,1016.1,"Plastic SIM - Australia, New Zealand - 1 GB/Day For 1 Days",128.0,10,"AUS,NZL","OCEN,AUS,NZL"
1041,#pS-PB-SG-VA-2-1-3_,0,1,2.0,105,,1016.1,"Plastic SIM - Singapore, Malaysia - 2 GB/Day For 1 Days",128.0,10,"MYS,SGP","SGMY,MYS,SGP"
1042,eSim-PB-GB-VA-1-15,0,2,1.0,105,,1016.1,eSIM - Europe (8) - 1 GB/Day For 15 Days,128.0,15,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","EUR,AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1043,eSim-PB-JP-VA-1-15-3,0,2,1.0,105,,1016.1,eSIM - Japan - 1 GB/Day For 15 Days,128.0,15,JPN,JPN
1044,#pS-PB-SG-VA-1-1-6_,0,1,1.0,105,,1016.1,"Plastic SIM - Singapore, Malaysia - 1 GB/Day For 7 Days",128.0,15,"MYS,SGP","SGMY,MYS,SGP"
1045,eSim-PB-US-VA-1-15-5,0,2,1.0,105,,1016.1,eSIM - United States of America - 1 GB/Day For 15 Days,128.0,15,USA,USA
1046,esim_unlimited_5days_europe_v2_1002202509595285,0,2,2.0,105,,1100.85,Europe - Unlimited Data for 5 Days,512.0,5,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
1047,GBR_1002202510085217,0,2,2.0,105,,1100.85,United Kingdom - Unlimited Data for 7 Days,512.0,7,GBR,GBR
1048,eSim-PB-HR-VA-2-7,0,2,2.0,105,,1100.85,eSIM - Europe (34) - 2 GB/Day For 7 Days,128.0,7,"HRV,SVN,CYP,IRL,LIE,MLT,DNK,ITA,SWE,AUT,BEL,BGR,CZE,EST,FIN,FRA,GLP,GUF,DEU,GIB,GRC,HUN,ISL,LVA,LTU,LUX,NLD,NOR,POL,PRT,REU,ROU,SVK,ESP,GBR","GIB,GLP,GUF,LIE,NLD,REU"
1049,eSim-PB-JP-VA-2-10-2,0,2,2.0,105,,1100.85,eSIM - Japan - 2 GB/Day For 10 Days,128.0,10,JPN,JPN
1050,eSim-PB-SG-VA-2-10-6,0,2,2.0,105,,1100.85,"eSIM - Singapore, Malaysia - 2 GB/Day For 10 Days",128.0,10,"SGP,MYS","SGP,MYS,SGMY"
1051,eSim-PB-AT-VA-1-15,0,2,1.0,105,,1100.85,eSIM - Europe (31) - 1 GB/Day For 15 Days,128.0,15,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR"
1052,eSim-PB-SG-VA-1-15-15,0,2,1.0,105,,1100.85,"eSIM - Singapore, Malaysia, Indonesia, Thailand - 1 GB/Day For 15 Days",128.0,15,"SGP,IDN,MYS,THA","THA,IDN,SMIT"
1053,#pS-PB-RE-VA-1-1_,0,1,1.0,105,,1270.34,Plastic SIM - Africa[6] - 1 GB/Day For 7 Days,128.0,7,"DZA,EGY,GHA,REU,TUN,ZAF","AFR,DZA,EGY,GHA,REU,TUN,ZAF"
1054,AUS_1002202510081735,0,2,2.0,105,,1270.34,Australia - Unlimited Data for 7 Days,512.0,7,AUS,AUS
1055,DEU_1002202510084211,0,2,2.0,105,,1270.34,Germany - Unlimited Data for 7 Days,512.0,7,DEU,DEU
1056,esim_unlimited_7days_europe_v2_1002202510095391,0,2,2.0,105,,1270.34,Europe - Unlimited Data for 7 Days,512.0,7,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
1057,#pS-PB-JP-VA-2-1-1_,0,1,2.0,105,,1270.34,Plastic SIM - Japan - 2 GB/Day For 1 Days,128.0,10,JPN,JPN
1058,#pS-PB-JP-VA-1-1-1_,0,1,1.0,105,,1270.34,Plastic SIM - Japan - 1 GB/Day For 7 Days,128.0,15,JPN,JPN
1059,eSim-PB-JP-VA-1-20-3,0,2,1.0,105,,1270.34,eSIM - Japan - 1 GB/Day For 20 Days,128.0,20,JPN,JPN
1060,eSim-PB-AE-VA-1-10-1,0,2,1.0,105,,1355.08,eSIM - United Arab Emirates - 1 GB/Day For 10 Days,128.0,10,ARE,ARE
1061,eSim-PB-LK-VA-1-10-1,0,2,1.0,105,,1355.08,eSIM - Sri Lanka - 1 GB/Day For 10 Days,128.0,10,LKA,LKA
1062,eSim-PB-AU-VA-2-10-3,0,2,2.0,105,,1355.08,"eSIM - Australia, New Zealand - 2 GB/Day For 10 Days",128.0,10,"AUS,NZL","OCEN,AUS,NZL"
1063,#pS-PB-SG-VA-3-1-3_,0,1,3.0,105,,1355.08,"Plastic SIM - Singapore, Malaysia - 3 GB/Day For 1 Days",128.0,10,"MYS,SGP","SGMY,MYS,SGP"
1064,eSim-PB-SG-VA-2-10-5,0,2,2.0,105,,1355.08,"eSIM - Singapore, Malaysia, Indonesia, Thailand - 2 GB/Day For 10 Days",128.0,10,"SGP,IDN,MYS,THA","THA,IDN,SMIT"
1065,#pS-PB-UZ-VA-1-1-1_,0,1,1.0,105,,1355.08,Plastic SIM - Europe[+] - 1 GB/Day For 7 Days,128.0,15,"ALB,IRL,EST,AUT,BGR,BEL,ISL,POL,DNK,DEU,FRA,FIN,KAZ,NLD,MNE,CZE,HRV,LVA,LTU,LIE,LUX,ROU,MLT,USA,MDA,NOR,PRT,SWE,CHE,CYP,SVK,SVN,TUR,UKR,ESP,GRC,HUN,ISR,ITA,GBR,KGZ,UZB,PAK,NZL,SRB","EUR,ALB,EST,BGR,BEL,POL,DEU,FIN,KAZ,NLD,MNE,CZE,HRV,LVA,LTU,LIE,LUX,ROU,MLT,MDA,NOR,PRT,CHE,CYP,SVK,SVN,UKR,ESP,GRC,HUN,KGZ,UZB,SRB"
1066,eSim-PB-US-VA-1-20-5,0,2,1.0,105,,1355.08,eSIM - United States of America - 1 GB/Day For 20 Days,128.0,20,USA,USA
1067,eSim-PB-LK-VA-2-7,0,2,2.0,105,,1439.83,eSIM - Sri Lanka - 2 GB/Day For 7 Days,128.0,7,LKA,LKA
1068,GBR_1002202510223911,0,2,2.0,105,,1439.83,United Kingdom - Unlimited Data for 10 Days,512.0,10,GBR,GBR
1069,#pS-PB-OM-VA-1-1-1_,0,1,1.0,105,,1439.83,Plastic SIM - Oman - 1 GB/Day For 1 Days,128.0,10,OMN,OMN
1070,eSim-PB-SG-VA-2-15-5,0,2,2.0,105,,1439.83,SMIT 2GB/Day -15 Days,128.0,15,"SGP, MYS, IDN, THA",IDN
1071,eSim-PB-AT-VA-1-20,0,2,1.0,105,,1439.83,eSIM - Europe (31) - 1 GB/Day For 20 Days,128.0,20,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR"
1072,eSim-PB-GB-VA-2-15,0,2,2.0,105,,1524.58,eSIM - Europe (8) - 2 GB/Day For 15 Days,128.0,15,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","EUR,AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1073,eSim-PB-JP-VA-2-15-2,0,2,2.0,105,,1524.58,eSIM - Japan - 2 GB/Day For 15 Days,128.0,15,JPN,JPN
1074,ARE_1002202510012485,0,2,2.0,105,,1694.07,United Arab Emirates - Unlimited Data for 5 Days,512.0,5,ARE,ARE
1075,eSim-PB-AL-VA-2-7-2,0,2,2.0,105,,1694.07,eSIM - Global (61) - 2 GB/Day For 7 Days,128.0,7,"ALB,IRL,EST,AUT,BGR,BEL,ISL,POL,DNK,DEU,FRA,FIN,KAZ,NLD,MNE,CZE,HRV,LVA,LTU,LIE,LUX,ROU,MLT,USA,MDA,NOR,PRT,SWE,CHE,CYP,SVK,SVN,TUR,UKR,ESP,GRC,HUN,ISR,ITA,GBR,KGZ,UZB,PAK,NZL,TUN,KWT,ARM,BLR,LKA,IND,GEO,FRO,DZA,AUS,MKD,SRB,REU,AZE,QAT,AND,XKX,BHR,RUS,BIH,GHA","AZE,BHR,BIH,DZA,XKX,AND,ARM,BLR"
1076,esim_unlimited_10days_europe_v2_1002202510192322,0,2,2.0,105,,1694.07,Europe - Unlimited Data for 10 Days,512.0,10,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
1077,eSim-PB-AT-VA-2-15,0,2,2.0,105,,1694.07,eSIM - Europe (31) - 2 GB/Day For 15 Days,128.0,15,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR"
1078,eSim-PB-JP-VA-2-20-2,0,2,2.0,105,,1863.56,eSIM - Japan - 2 GB/Day For 20 Days,128.0,20,JPN,JPN
1079,eSim-PB-AT-VA-1-30,0,2,1.0,105,,1863.56,eSIM - Europe (31) - 1 GB/Day For 30 Days,128.0,30,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR"
1080,#pS-PB-AE-VA-2-1_,0,1,2.0,105,,1948.31,Plastic SIM - UAE - 2 GB/Day For 1 Days,128.0,10,ARE,ARE
1081,#pS-PB-SE-VA-3-1-2_,0,1,3.0,105,,1948.31,Plastic SIM - Europe[8] - 3 GB/Day For 7 Days,128.0,15,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1082,eSim-PB-AT-VA-3-15,0,2,3.0,105,,2033.05,eSIM - Europe (31) - 3 GB/Day For 15 Days,128.0,15,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,CHE,TUR"
1083,eSim-PB-AT-VA-2-20,0,2,2.0,105,,2033.05,eSIM - Europe (31) - 2 GB/Day For 20 Days,128.0,20,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR","EUR,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,LUX,MLT,NOR,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,CHE,TUR"
1084,esim_unlimited_5days_asia_v2_1002202509595014,0,2,2.0,105,,2117.8,Singapore - Unlimited Data for 5 Days,512.0,5,SGP,SGP
1085,ARE_1002202510081228,0,2,2.0,105,,2117.8,United Arab Emirates - Unlimited Data for 7 Days,512.0,7,ARE,ARE
1086,GBR_1002202510292235,0,2,2.0,105,,2117.8,United Kingdom - Unlimited Data for 15 Days,512.0,15,GBR,GBR
1087,#pS-PB-US-VA-1-1-2_,0,1,1.0,105,,2202.54,"Plastic SIM - USA, Canada, Mexico - 1 GB/Day For 7 Days",128.0,15,"CAN,MEX,USA","USCM,CAN,MEX,USA"
1088,esim_unlimited_15days_europe_v2_1002202510281411,0,2,2.0,105,,2287.29,Europe - Unlimited Data for 15 Days,512.0,15,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
1089,#pS-PB-SE-VA-2-1-2_,0,1,2.0,105,,2372.03,Plastic SIM - Europe[8] - 2 GB/Day For 1 Days,128.0,30,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1090,#pS-PB-SA-VA-500M-1_,0,1,0.5,105,,2456.78,Plastic SIM - Saudi Arabia - 0.5 GB/Day For 1 Days,128.0,30,SAU,SAU
1091,DEU_1002202510291221,0,2,2.0,105,,2541.53,Germany - Unlimited Data for 15 Days,512.0,15,DEU,DEU
1092,eSim-PB-US-VA-2-30-2,0,2,2.0,105,,2541.53,eSIM - United States of America - 2 GB/Day For 30 Days,128.0,30,USA,USA
1093,esim_unlimited_7days_asia_v2_1002202510095081,0,2,2.0,105,,2795.76,Sri Lanka - Unlimited Data for 7 Days,512.0,7,LKA,LKA
1094,eSim-PB-AE-VA-1-30-1,0,2,1.0,105,,2795.76,eSIM - United Arab Emirates - 1 GB/Day For 30 Days,128.0,30,ARE,ARE
1095,eSim-PB-SG-VA-2-30-5,0,2,2.0,105,,2880.51,SMIT 2GB/Day -30 Days,128.0,30,"SGP, MYS, IDN, THA",IDN
1096,eSim-PB-SA-VA-1-30-1,0,2,1.0,105,,2880.51,eSIM - Saudi Arabia - 1 GB/Day For 30 Days,128.0,30,SAU,SAU
1097,ARE_1002202510215991,0,2,2.0,105,,2965.25,United Arab Emirates - Unlimited Data for 10 Days,512.0,10,ARE,ARE
1098,SAU_1002202510282220,0,2,2.0,105,,2965.25,Saudi Arabia - Unlimited Data for 15 Days,512.0,15,SAU,SAU
1099,esim_unlimited_10days_asia_v2_1002202510192068,0,2,2.0,105,,3388.98,Thailand - Unlimited Data for 10 Days,512.0,10,THA,THA
1100,esim_unlimited_30days_europe_v2_1002202510390594,0,2,2.0,105,,4236.44,Europe - Unlimited Data for 30 Days,512.0,30,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
1101,AUS_1002202509373956,1,2,,105,,253.39,Australia - 1 GB for 7 Days,,7,AUS,AUS
1102,AUT_1002202509373829,1,2,,105,,253.39,Austria - 1 GB for 7 Days,,7,AUT,AUT
1103,CHE_0313202512400181,1,2,,105,,253.39,Switzerland - 1 GB for 7 Days,,7,CHE,CHE
1104,CZE_1002202509363546,1,2,,105,,253.39,Czech Republic - 1 GB for 7 Days,,7,CZE,CZE
1105,DEU_1002202509363690,1,2,,105,,253.39,Germany - 1 GB for 7 Days,,7,DEU,DEU
1106,ESP_1002202509364176,1,2,,105,,253.39,Spain - 1 GB for 7 Days,,7,ESP,ESP
1107,08232023231000_01032_5,1,2,,105,,253.39,Europe - 1 GB for 7 Days,,7,"ALB, AUT, BEL, BGR, HRV, CYP, CZE, DNK, EST, FRO, FIN, FRA, DEU, HUN, ISL, IRL, ITA, LVA, LIE, LTU, LUX, MLT, NLD, NOR, POL, PRT, ROU, SVN, ESP, SWE, TUR, GBR",EUR
1108,FIN_1002202509364242,1,2,,105,,253.39,Finland - 1 GB for 7 Days,,7,FIN,FIN
1109,FRA_1002202509364410,1,2,,105,,253.39,France - 1 GB for 7 Days,,7,FRA,FRA
1110,GBR_1002202509364558,1,2,,105,,253.39,United Kingdom - 1 GB for 7 Days,,7,GBR,GBR
1111,GRC_1002202509365297,1,2,,105,,253.39,Greece - 1 GB for 7 Days,,7,GRC,GRC
1112,hongkong-1g7days_0611202506452497,1,2,,105,,253.39,Hong Kong - 1 GB for 7 Days,,7,HKG,HKG
1113,IDN_0213202516000820,1,2,,105,,253.39,Indonesia - 1 GB for 7 Days,,7,IDN,IDN
1114,ITA_1002202509370304,1,2,,105,,253.39,Italy - 1 GB for 7 Days,,7,ITA,ITA
1115,kuwait-1g7days_0717202507150206,1,2,,105,,253.39,Kuwait - 1 GB for 7 Days,,7,KWT,KWT
1116,LKA_0213202516001245,1,2,,105,,253.39,Sri Lanka - 1 GB for 7 Days,,7,LKA,LKA
1117,NLD_1002202509373263,1,2,,105,,253.39,Netherlands - 1 GB for 7 Days,,7,NLD,NLD
1118,NOR_1002202509342537,1,2,,105,,253.39,Norway - 1 GB for 7 Days,,7,NOR,NOR
1119,NZL_1002202509342628,1,2,,105,,253.39,New Zealand - 1 GB for 7 Days,,7,NZL,NZL
1120,QAT_0502202514200927,1,2,,105,,253.39,Qatar - 1 GB for 7 Days,,7,QAT,QAT
1121,THA_0410202507150858,1,2,,105,,253.39,Thailand - 1 GB for 7 Days,,7,THA,THA
1122,TUR_0110202517200002,1,2,,105,,253.39,Turkey - 1 GB for 7 Days,,7,TUR,TUR
1123,20251110T100012397319_ddbf4314-e0c6-4942-8389-f9916fe1859e,1,2,,105,,253.39,United States of America - 1 GB for 7 Days,,7,USA,USA
1124,VNM_1002202509350529,1,2,,105,,253.39,Vietnam - 1 GB for 7 Days,,7,VNM,VNM
1125,esim_1gb_7days_northamerica_v2_1002202509344104,1,2,,105,,338.14,America - 1 GB for 7 Days,,7,"CAN, MEX, USA",AMR
1126,ARE_1002202509373458,1,2,,105,,338.14,United Arab Emirates - 1 GB for 7 Days,,7,ARE,ARE
1127,BGD_1002202509374302,1,2,,105,,338.14,Bangladesh - 1 GB for 7 Days,,7,BGD,BGD
1128,BHR_1002202509374640,1,2,,105,,338.14,Bahrain - 1 GB for 7 Days,,7,BHR,BHR
1129,egypt-1g7days_0717202507150730,1,2,,105,,338.14,Egypt - 1 GB for 7 Days,,7,EGY,EGY
1130,esim_1gb_7days_europe_v2_1002202509343726,1,2,,105,,338.14,Europe - 1 GB for 7 Days,,7,"AUT, BEL, BGR, CHE, CYP, CZE, DEU, DNK, EST, ESP, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ISL, ITA, LIE, LTU, LUX, LVA, MLT, NLD, NOR, POL, PRT, ROU, SWE, SVN, SVK, TUR",EUR
